t_ms,raw,volts,ohms
36300,3831.6,3.088,688.0
36350,3833.2,3.089,683.0
36400,3835.3,3.091,677.0
36450,3831.3,3.088,688.0
36500,3832.4,3.088,685.0
36550,3834.9,3.09,678.0
36600,3835.7,3.091,676.0
36650,3834.4,3.09,680.0
36700,3834.6,3.09,679.0
36750,3831.3,3.088,688.0
36800,3833.4,3.089,682.0
36850,3835.3,3.091,677.0
36900,3833.5,3.089,682.0
36950,3835.3,3.091,677.0
37000,3834.6,3.09,679.0
37050,3835.3,3.091,677.0
37100,3834.1,3.09,680.0
37150,3835.8,3.091,676.0
37200,3833.8,3.09,681.0
37250,3836.8,3.092,673.0
37300,3836.3,3.091,674.0
37350,3836.3,3.092,674.0
37400,3832.1,3.088,686.0
37450,3835.8,3.091,676.0
37500,3834.3,3.09,680.0
37550,3835.4,3.091,677.0
37600,3834.4,3.09,680.0
37650,3834.4,3.09,680.0
37700,3833.6,3.089,682.0
37750,3834.3,3.09,680.0
37800,3833.9,3.09,681.0
37850,3836.6,3.092,673.0
37900,3834.8,3.09,678.0
37950,3835.3,3.091,677.0
38000,3837.8,3.093,670.0
38050,3836.8,3.092,673.0
38100,3834.4,3.09,680.0
38150,3834.9,3.09,678.0
38200,3834.3,3.09,680.0
38250,3834.8,3.09,679.0
38300,3837.9,3.093,670.0
38350,3836.3,3.092,674.0
38400,3836.4,3.092,674.0
38450,3836.8,3.092,673.0
38500,3833.8,3.089,681.0
38550,3837.1,3.092,672.0
38600,3837.0,3.092,672.0
38650,3834.3,3.09,680.0
38700,3835.0,3.09,678.0
38750,3834.9,3.09,678.0
38800,3837.4,3.092,671.0
38850,3836.1,3.091,675.0
38900,3835.2,3.091,677.0
38950,3833.4,3.089,682.0
39000,3836.6,3.092,674.0
39050,3837.8,3.093,670.0
39100,3837.1,3.092,672.0
39150,3836.5,3.092,674.0
39200,3835.7,3.091,676.0
39250,3838.9,3.094,667.0
39300,3837.4,3.092,671.0
39350,3832.6,3.089,685.0
39400,3838.8,3.094,667.0
39450,3836.8,3.092,673.0
39500,3834.6,3.09,679.0
39550,3836.9,3.092,673.0
39600,3837.4,3.092,671.0
39650,3838.7,3.093,668.0
39700,3834.8,3.09,679.0
39750,3835.9,3.091,676.0
39800,3838.6,3.093,668.0
39850,3837.1,3.092,672.0
39900,3834.4,3.09,680.0
39950,3839.8,3.094,665.0
40000,3837.4,3.092,671.0
40050,3836.6,3.092,673.0
40100,3838.8,3.094,667.0
40150,3837.6,3.093,671.0
40200,3832.6,3.089,685.0
40250,3835.6,3.091,676.0
40300,3834.5,3.09,679.0
40350,3837.3,3.092,672.0
40400,3834.4,3.09,680.0
40450,3835.4,3.091,677.0
40500,3836.0,3.091,675.0
40550,3835.8,3.091,676.0
40600,3836.6,3.092,673.0
40650,3837.1,3.092,672.0
40700,3839.7,3.094,665.0
40750,3837.4,3.092,671.0
40800,3837.8,3.093,670.0
40850,3841.5,3.096,660.0
40900,3836.3,3.092,674.0
40950,3839.6,3.094,665.0
41000,3837.4,3.092,671.0
41050,3838.4,3.093,669.0
41100,3834.1,3.09,681.0
41150,3838.4,3.093,669.0
41200,3837.1,3.092,672.0
41250,3836.9,3.092,673.0
41300,3837.8,3.093,670.0
41350,3835.6,3.091,676.0
41400,3837.1,3.092,672.0
41450,3837.1,3.092,672.0
