t_ms,raw,volts,ohms
30650,3797.6,3.06,783.0
30700,3795.4,3.059,789.0
30750,3796.2,3.059,787.0
30800,3795.7,3.059,789.0
30850,3796.7,3.06,786.0
30900,3795.9,3.059,788.0
30950,3797.8,3.061,783.0
31000,3799.9,3.062,776.0
31050,3799.4,3.062,778.0
31100,3797.2,3.06,784.0
31150,3795.9,3.059,788.0
31200,3794.4,3.058,792.0
31250,3796.1,3.059,787.0
31300,3796.9,3.06,785.0
31350,3796.8,3.06,786.0
31400,3796.4,3.059,786.0
31450,3798.4,3.061,781.0
31500,3798.8,3.061,780.0
31550,3796.6,3.06,786.0
31600,3798.4,3.061,781.0
31650,3796.9,3.06,785.0
31700,3797.4,3.06,784.0
31750,3797.4,3.06,784.0
31800,3797.3,3.06,784.0
31850,3798.3,3.061,781.0
31900,3796.4,3.059,786.0
31950,3795.3,3.058,790.0
32000,3798.1,3.061,782.0
32050,3797.2,3.06,784.0
32100,3798.3,3.061,781.0
32150,3798.5,3.061,781.0
32200,3799.0,3.061,779.0
32250,3796.0,3.059,788.0
32300,3798.2,3.061,781.0
32350,3797.4,3.06,784.0
32400,3798.9,3.061,779.0
32450,3795.4,3.059,789.0
32500,3797.6,3.06,783.0
32550,3798.0,3.061,782.0
32600,3799.7,3.062,777.0
32650,3796.9,3.06,785.0
32700,3797.1,3.06,785.0
32750,3798.4,3.061,781.0
32800,3798.6,3.061,780.0
32850,3797.9,3.061,782.0
32900,3798.4,3.061,781.0
32950,3798.3,3.061,781.0
33000,3798.1,3.061,782.0
33050,3800.5,3.063,775.0
33100,3799.3,3.062,778.0
33150,3797.7,3.06,783.0
33200,3799.8,3.062,777.0
33250,3799.3,3.062,778.0
33300,3796.9,3.06,785.0
33350,3796.9,3.06,785.0
33400,3798.6,3.061,780.0
33450,3797.3,3.06,784.0
33500,3800.3,3.063,775.0
33550,3798.9,3.061,779.0
33600,3798.1,3.061,782.0
33650,3797.6,3.06,783.0
33700,3799.8,3.062,777.0
33750,3797.8,3.06,783.0
33800,3797.4,3.06,784.0
33850,3797.5,3.06,783.0
33900,3797.3,3.06,784.0
