t_ms,raw,volts,ohms
59400,3726.1,3.003,990.0
59450,3728.9,3.005,982.0
59500,3727.7,3.004,985.0
59550,3724.8,3.002,994.0
59600,3731.7,3.007,974.0
59650,3728.7,3.005,982.0
59700,3725.2,3.002,993.0
59750,3726.1,3.003,990.0
59800,3728.3,3.004,984.0
59850,3730.2,3.006,978.0
59900,3729.1,3.005,981.0
59950,3728.5,3.005,983.0
60000,3728.1,3.004,984.0
60050,3726.2,3.003,990.0
60100,3726.6,3.003,988.0
60150,3727.7,3.004,985.0
60200,3729.3,3.005,981.0
60250,3729.4,3.005,980.0
60300,3729.8,3.006,979.0
60350,3727.3,3.004,986.0
60400,3724.9,3.002,993.0
60450,3724.1,3.001,996.0
60500,3722.6,3.0,1000.0
60550,3723.5,3.001,998.0
60600,3723.2,3.0,999.0
60650,3721.0,2.999,1005.0
60700,3719.1,2.997,1011.0
60750,3718.0,2.996,1014.0
60800,3707.2,2.987,1046.0
60850,3701.1,2.983,1064.0
60900,3696.2,2.979,1079.0
60950,3687.6,2.972,1105.0
61000,3684.4,2.969,1115.0
61050,3677.5,2.964,1135.0
61100,3682.8,2.968,1119.0
61150,3681.9,2.967,1122.0
61200,3683.8,2.969,1116.0
61250,3685.9,2.97,1110.0
61300,3685.7,2.97,1111.0
61350,3683.7,2.969,1117.0
61400,3681.3,2.967,1124.0
61450,3679.9,2.966,1128.0
61500,3676.6,2.963,1138.0
61550,3670.0,2.958,1158.0
61600,3669.6,2.957,1159.0
61650,3665.9,2.954,1171.0
61700,3670.3,2.958,1157.0
61750,3670.9,2.958,1155.0
61800,3669.1,2.957,1161.0
61850,3670.1,2.958,1158.0
61900,3674.0,2.961,1146.0
61950,3676.7,2.963,1138.0
62000,3679.0,2.965,1131.0
62050,3683.1,2.968,1118.0
62100,3680.8,2.966,1125.0
62150,3684.3,2.969,1115.0
62200,3684.6,2.969,1114.0
62250,3686.0,2.97,1110.0
62300,3683.9,2.969,1116.0
62350,3687.3,2.971,1106.0
62400,3689.9,2.974,1098.0
62450,3690.0,2.974,1098.0
62500,3691.5,2.975,1093.0
62550,3698.0,2.98,1074.0
62600,3700.5,2.982,1066.0
62650,3702.1,2.983,1061.0
62700,3702.8,2.984,1059.0
62750,3701.8,2.983,1062.0
62800,3703.2,2.984,1058.0
62850,3705.1,2.986,1052.0
62900,3706.2,2.987,1049.0
62950,3707.4,2.988,1046.0
63000,3705.9,2.986,1050.0
63050,3710.4,2.99,1037.0
63100,3705.5,2.986,1051.0
63150,3703.9,2.985,1056.0
63200,3707.2,2.987,1046.0
63250,3704.4,2.985,1054.0
63300,3697.4,2.98,1075.0
63350,3695.3,2.978,1082.0
63400,3684.8,2.969,1113.0
63450,3682.5,2.968,1120.0
63500,3677.4,2.963,1136.0
63550,3674.9,2.961,1143.0
63600,3672.6,2.96,1150.0
63650,3673.4,2.96,1148.0
63700,3679.1,2.965,1130.0
63750,3678.3,2.964,1133.0
63800,3680.0,2.966,1128.0
63850,3683.6,2.968,1117.0
63900,3684.9,2.97,1113.0
63950,3684.8,2.969,1113.0
64000,3681.1,2.966,1125.0
64050,3684.1,2.969,1115.0
64100,3684.2,2.969,1115.0
64150,3682.1,2.967,1121.0
64200,3682.6,2.968,1120.0
64250,3682.3,2.967,1121.0
64300,3684.1,2.969,1115.0
64350,3686.9,2.971,1107.0
64400,3688.1,2.972,1103.0
64450,3689.8,2.973,1098.0
64500,3695.0,2.978,1083.0
64550,3690.8,2.974,1095.0
64600,3694.6,2.977,1084.0
64650,3690.8,2.974,1095.0
64700,3696.2,2.979,1079.0
64750,3697.2,2.979,1076.0
64800,3699.9,2.982,1068.0
64850,3701.7,2.983,1063.0
64900,3701.1,2.983,1064.0
64950,3702.7,2.984,1060.0
65000,3706.8,2.987,1047.0
65050,3704.1,2.985,1055.0
65100,3706.3,2.987,1049.0
65150,3705.3,2.986,1052.0
65200,3707.1,2.987,1046.0
65250,3708.6,2.989,1042.0
65300,3709.8,2.99,1038.0
65350,3708.4,2.988,1042.0
65400,3707.6,2.988,1045.0
65450,3711.4,2.991,1033.0
65500,3706.9,2.987,1047.0
65550,3707.6,2.988,1045.0
65600,3710.8,2.99,1035.0
65650,3707.6,2.988,1045.0
65700,3707.3,2.988,1046.0
65750,3708.9,2.989,1041.0
65800,3707.6,2.988,1045.0
65850,3707.0,2.987,1047.0
65900,3707.9,2.988,1044.0
65950,3704.2,2.985,1055.0
66000,3706.1,2.987,1049.0
66050,3707.2,2.987,1046.0
66100,3706.1,2.987,1049.0
66150,3708.0,2.988,1044.0
66200,3708.8,2.989,1041.0
66250,3711.8,2.991,1033.0
66300,3711.7,2.991,1033.0
66350,3711.4,2.991,1034.0
66400,3711.8,2.991,1033.0
66450,3713.6,2.993,1027.0
66500,3714.9,2.994,1023.0
66550,3711.2,2.991,1034.0
66600,3712.1,2.991,1031.0
66650,3713.0,2.992,1029.0
66700,3714.9,2.994,1023.0
66750,3714.2,2.993,1025.0
66800,3715.6,2.994,1021.0
66850,3714.0,2.993,1026.0
66900,3716.8,2.995,1018.0
66950,3717.1,2.995,1017.0
67000,3718.9,2.997,1011.0
67050,3717.9,2.996,1014.0
67100,3716.1,2.995,1020.0
67150,3716.8,2.995,1018.0
67200,3720.9,2.999,1005.0
67250,3718.1,2.996,1014.0
67300,3716.7,2.995,1018.0
67350,3715.7,2.994,1021.0
67400,3716.4,2.995,1019.0
67450,3722.3,3.0,1001.0
67500,3719.8,2.998,1009.0
67550,3719.8,2.998,1009.0
67600,3720.1,2.998,1008.0
67650,3714.4,2.993,1025.0
67700,3717.9,2.996,1014.0
67750,3718.0,2.996,1014.0
67800,3713.3,2.992,1028.0
