t_ms,raw,volts,ohms
43776,3728.1,3.004,984
43826,3731.6,3.007,974
43876,3729.2,3.005,981
43926,3727.8,3.004,985
43976,3727.1,3.004,987
44026,3731.4,3.007,974
44076,3729,3.005,981
44126,3728.1,3.004,984
44176,3730.9,3.007,976
44226,3729.5,3.005,980
44276,3729.1,3.005,981
44326,3728.9,3.005,982
44376,3728.4,3.005,983
44426,3729.8,3.006,979
44476,3730.9,3.007,976
44526,3729.3,3.005,981
44576,3727.2,3.004,987
44626,3731.7,3.007,974
44676,3727.7,3.004,985
44726,3728.6,3.005,983
44776,3729.9,3.006,979
44826,3726.3,3.003,990
44876,3726.8,3.003,988
44926,3723.3,3,998
44976,3723.7,3.001,997
45026,3718.9,2.997,1011
45076,3716.1,2.995,1020
45126,3709.9,2.99,1038
45176,3709.3,2.989,1040
45226,3708.9,2.989,1041
45276,3703.8,2.985,1056
45326,3694.8,2.978,1083
45376,3687.9,2.972,1104
45426,3686.8,2.971,1107
45476,3689.4,2.973,1099
45526,3690.7,2.974,1095
45576,3697.4,2.98,1075
45626,3701,2.982,1065
45676,3702.3,2.984,1061
45726,3707.3,2.988,1046
45776,3707.7,2.988,1045
45826,3709.5,2.989,1039
45876,3713.1,2.992,1028
45926,3715.6,2.994,1021
45976,3715.4,2.994,1022
46026,3718.9,2.997,1011
46076,3717.1,2.995,1017
46126,3717.2,2.996,1016
46176,3717.9,2.996,1014
46226,3720,2.998,1008
46276,3718.6,2.997,1012
46326,3721.8,2.999,1003
46376,3720.8,2.998,1006
46426,3718.6,2.997,1012
46476,3718.5,2.997,1013
46526,3715,2.994,1023
46576,3713.8,2.993,1026
46626,3714.6,2.993,1024
46676,3710.1,2.99,1038
46726,3710.3,2.99,1037
46776,3710.3,2.99,1037
46826,3707.2,2.987,1046
46876,3703.9,2.985,1056
46926,3699.6,2.981,1069
46976,3693.5,2.976,1087
47026,3695.2,2.978,1082
47076,3690.3,2.974,1097
47126,3693.5,2.976,1087
47176,3696.9,2.979,1077
47226,3701.5,2.983,1063
47276,3704.8,2.986,1053
47326,3708,2.988,1044
47376,3712.4,2.992,1031
47426,3712.2,2.992,1031
47476,3712.4,2.992,1030
47526,3713.8,2.993,1027
47576,3714.5,2.993,1024
47626,3715.4,2.994,1022
47676,3719.3,2.997,1010
47726,3721.4,2.999,1004
47776,3719.8,2.998,1009
47826,3719.3,2.997,1010
47876,3724.6,3.001,995
47926,3722.7,3,1000
47976,3723.5,3.001,998
48026,3723.6,3.001,998
48076,3722.6,3,1000
48126,3719.3,2.997,1010
48176,3718.5,2.997,1013
48226,3716.3,2.995,1019
48276,3712.7,2.992,1030
48326,3708.4,2.988,1042
48376,3711.3,2.991,1034
48426,3710.1,2.99,1037
48476,3709.5,2.989,1039
48526,3702.6,2.984,1060
48576,3695.4,2.978,1081
48626,3689,2.973,1101
48676,3685.6,2.97,1111
48726,3686,2.97,1110
48776,3692,2.975,1092
48826,3695.3,2.978,1082
48876,3700.9,2.982,1065
48926,3706.5,2.987,1048
48976,3709.7,2.989,1039
49026,3709.2,2.989,1040
49076,3709.8,2.99,1038
49126,3711.9,2.991,1032
49176,3713.3,2.992,1028
49226,3714.9,2.994,1023
49276,3716.6,2.995,1018
49326,3718.4,2.996,1013
49376,3719.3,2.997,1010
49426,3718.6,2.997,1012
49476,3721.1,2.999,1005
49526,3722.6,3,1000
49576,3725.5,3.002,992
49626,3720.4,2.998,1007
49676,3722.9,3,999
49726,3720.9,2.999,1005
49776,3721.3,2.999,1004
49826,3720.1,2.998,1008
49876,3720.5,2.998,1007
49926,3714.6,2.993,1024
49976,3710.9,2.99,1035
50026,3710.8,2.99,1036
50076,3714.5,2.993,1024
50126,3715.4,2.994,1022
50176,3713.1,2.992,1028
50226,3707,2.987,1047
50276,3704.3,2.985,1055
50326,3697.6,2.98,1075
50376,3695.9,2.978,1080
50426,3696.4,2.979,1078
50476,3700.4,2.982,1066
50526,3705.3,2.986,1052
50576,3709.1,2.989,1040
50626,3711.3,2.991,1034
50676,3712.8,2.992,1029
50726,3713.7,2.993,1027
50776,3712.1,2.991,1031
50826,3714.3,2.993,1025
50876,3717.8,2.996,1015
50926,3718.2,2.996,1013
50976,3721.5,2.999,1004
51026,3720.3,2.998,1007
51076,3723,3,999
51126,3720.6,2.998,1006
51176,3726,3.003,990
51226,3725.8,3.002,991
51276,3724.8,3.002,994
51326,3722.4,3,1001
51376,3726.7,3.003,988
51426,3727.4,3.004,986
51476,3726.4,3.003,989
51526,3727.8,3.004,985
51576,3725.3,3.002,993
51626,3724.6,3.002,994
51676,3726.6,3.003,989
51726,3728.1,3.004,984
51776,3727.1,3.003,987
51826,3726.5,3.003,989
51876,3726.8,3.003,988
51926,3725.9,3.003,991
51976,3729.6,3.006,980
52026,3726.4,3.003,989
52076,3729.4,3.005,980
52126,3727.8,3.004,985
52176,3728.4,3.005,983
52226,3727.6,3.004,986
52276,3728.4,3.005,983
52326,3730.6,3.006,977
52376,3729.1,3.005,981
52426,3727.6,3.004,986
52476,3727.9,3.004,985
52526,3727.6,3.004,986
52576,3728.8,3.005,982
52626,3726.6,3.003,988
52676,3729.4,3.005,980
52726,3729.6,3.006,980
52776,3728.2,3.004,984
52826,3729.9,3.006,979
52876,3728.9,3.005,982
52926,3728.4,3.005,983
52976,3729.8,3.006,979
53026,3727.9,3.004,985
53076,3728.3,3.005,984
53126,3729.3,3.005,981
53176,3726.3,3.003,990
53226,3728.9,3.005,982
53276,3730.2,3.006,978
53326,3728.4,3.005,983
53376,3728.2,3.004,984
53426,3727.1,3.003,987
53476,3728.9,3.005,982
53526,3729.3,3.005,981
53576,3728.3,3.005,984
53626,3729.8,3.006,979
53676,3727.9,3.004,985
53726,3727.6,3.004,986
53776,3727.8,3.004,985
53826,3727.5,3.004,986
53876,3724.4,3.001,995
53926,3723.1,3,999
53976,3722.1,2.999,1002
54026,3719.8,2.998,1009
54076,3719.6,2.997,1009
54126,3714,2.993,1026
54176,3714.1,2.993,1026
54226,3710.4,2.99,1037
54276,3709.3,2.989,1040
54326,3709.3,2.989,1040
54376,3710,2.99,1038
54426,3711.1,2.991,1034
54476,3708.4,2.988,1043
54526,3709.8,2.99,1038
54576,3708.3,2.988,1043
54626,3708.7,2.989,1042
54676,3711.9,2.991,1032
54726,3712.3,2.992,1031
54776,3709.8,2.99,1038
54826,3710.8,2.99,1036
54876,3710.5,2.99,1036
54926,3711.1,2.991,1035
54976,3713.9,2.993,1026
55026,3709.8,2.99,1038
55076,3711.8,2.991,1033
55126,3713.6,2.993,1027
55176,3710.9,2.99,1035
55226,3712.2,2.992,1031
55276,3710.5,2.99,1036
55326,3710.7,2.99,1036
55376,3710.9,2.99,1035
55426,3713.1,2.992,1029
55476,3712.3,2.992,1031
55526,3709.3,2.989,1040
55576,3709.6,2.989,1039
55626,3709.4,2.989,1040
55676,3709.6,2.989,1039
55726,3704.4,2.985,1054
55776,3706.1,2.987,1049
55826,3707.9,2.988,1044
55876,3708.2,2.988,1043
55926,3713.1,2.992,1029
55976,3712.9,2.992,1029
56026,3716.4,2.995,1019
56076,3716.6,2.995,1018
56126,3716.9,2.995,1017
56176,3717.5,2.996,1015
56226,3720,2.998,1008
56276,3721.8,2.999,1003
56326,3725.3,3.002,993
56376,3726.2,3.003,990
56426,3723.4,3.001,998
56476,3723.1,3,999
56526,3724.2,3.001,996
56576,3724.3,3.001,995
56626,3725.4,3.002,992
56676,3726.7,3.003,988
56726,3727.5,3.004,986
56776,3724.9,3.002,994
56826,3726.9,3.003,988
56876,3725.9,3.003,991
56926,3725.6,3.002,991
56976,3727.4,3.004,986
57026,3728.5,3.005,983
57076,3726.8,3.003,988
57126,3725.9,3.003,991
57176,3728.9,3.005,982
57226,3728.9,3.005,982
57276,3725.8,3.002,991
57326,3728.3,3.005,984
57376,3726.7,3.003,988
57426,3725,3.002,993
57476,3721.7,2.999,1003
57526,3718,2.996,1014
57576,3715.8,2.994,1020
57626,3715.6,2.994,1021
57676,3715.6,2.994,1021
57726,3714.6,2.993,1024
57776,3714.3,2.993,1025
57826,3712.9,2.992,1029
57876,3710.1,2.99,1037
57926,3711.8,2.991,1033
