t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
560415,3758.3,3.029,896,0.08,-0.99,-0.007,1.3,4.8,-0.3
560465,3757.4,3.028,899,0.071,-1.001,-0.004,1.6,-5,-0.8
560515,3758.8,3.029,894,0.135,-0.994,0.033,3.8,-1.6,-1.2
560565,3760.1,3.03,891,0.088,-1,0.028,1.6,1.4,-1.3
560615,3760.2,3.03,890,0.102,-0.987,-0.01,0.2,2.9,2
560665,3760.3,3.03,890,0.065,-1,-0.031,-7.2,6.2,5.3
560715,3759.3,3.029,893,0.084,-1.004,-0.029,-12.6,-11.1,10.6
560765,3756.8,3.027,900,-0.02,-0.972,-0.031,-15.5,-21.8,10.8
560815,3755.6,3.026,904,0.137,-1.046,0.069,-8.3,-58.8,-0.6
560865,3756.7,3.027,901,0.189,-0.99,0.019,-3.1,21.7,3.8
560915,3756.4,3.027,901,0,-0.998,-0.1,-7.8,49.8,5.7
560965,3757.2,3.028,899,0.018,-0.98,-0.115,-18.1,-7.1,6.2
561015,3755.9,3.027,903,0.033,-1.008,-0.125,-28.5,-22.5,5.1
561065,3754.6,3.026,907,0.121,-1.007,-0.043,-22.8,18.8,2.8
561115,3754.4,3.026,907,0.037,-1.032,-0.126,-23.2,17.5,-4.3
561165,3753.2,3.025,911,0.099,-0.973,-0.157,-24.6,27,-5.7
561215,3751.8,3.023,915,0.037,-1.037,-0.183,-28.3,-9.6,-8.2
561265,3748.1,3.02,926,0.121,-1.029,-0.148,-34.1,-20.9,-10.1
561315,3746.3,3.019,931,0.131,-0.987,-0.224,-43.7,8.3,-5.9
561365,3743.7,3.017,938,0.003,-0.993,-0.277,-54.1,35.8,-9.7
561415,3742.4,3.016,942,0.177,-0.985,-0.312,-41.2,17.4,-11.3
561465,3740.8,3.015,947,0.09,-1.035,-0.32,-41.9,16.3,-40.3
561515,3739.1,3.013,952,0.242,-0.804,-0.385,-29.3,-6.5,-22.3
561565,3739.4,3.013,951,0.038,-0.951,-0.324,-27.7,48.3,-27.9
561615,3737.9,3.012,955,0.383,-0.761,-0.326,-12,29.8,-25.7
561665,3735.1,3.01,964,0.201,-0.972,-0.44,-15.9,53.7,-32.6
561715,3732.9,3.008,970,0.33,-0.735,-0.319,-9.7,12.9,-28.3
561765,3731.4,3.007,975,0.274,-0.92,-0.349,4.3,63,-17.9
561815,3732.1,3.008,972,0.445,-0.801,-0.329,7,57.3,-33.5
561865,3731.7,3.007,974,0.305,-0.745,-0.371,40,40.6,-2.7
561915,3733.6,3.009,968,0.372,-0.927,-0.249,44.3,90.4,-18.2
561965,3731.9,3.007,973,0.403,-0.597,-0.019,56.4,-0.5,-12.7
562015,3729.9,3.006,979,0.447,-0.872,-0.052,66.1,74.8,17.3
562065,3729.4,3.005,980,0.555,-0.93,0,46.8,77.7,-3.8
562115,3730.6,3.006,977,0.359,-0.968,0.025,51.2,-18.3,20.3
562165,3727.8,3.004,985,0.532,-0.842,0.113,38.9,67.1,15.1
