t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
610115,3751.4,3.023,916,0.059,-1.013,0.124,2.2,1,3.2
610165,3750.9,3.023,917,0.118,-1.001,0.125,1,-3.6,1.8
610215,3751.3,3.023,916,0.024,-1,0.112,-0.9,-17.1,1
610265,3751.1,3.023,917,0.122,-0.991,0.139,-1.6,-2.6,0.3
610315,3750.1,3.022,920,0.033,-1.006,0.106,-1.3,-2.6,1.5
610365,3749.9,3.022,920,0.102,-0.996,0.127,-1,1.6,1
610415,3750.8,3.023,918,0.046,-0.997,0.121,-0.8,1,0.4
610465,3750.8,3.023,918,0.07,-0.993,0.137,-2.1,0.9,0.4
610515,3752.4,3.024,913,0.081,-0.988,0.123,-1.7,-1.8,-0.1
610565,3751.1,3.023,917,0.071,-1,0.099,-0.9,-0.2,-0.8
610615,3751,3.023,917,0.057,-1,0.117,-1,0.8,0.1
610665,3752.4,3.024,913,0.09,-0.986,0.121,-1.5,-1.6,0.9
610715,3750.8,3.023,918,0.056,-0.986,0.119,-1.9,4.1,1.2
610765,3750.9,3.023,917,0.082,-0.998,0.109,-2,-3.2,3
610815,3750.8,3.023,918,0.058,-1.01,0.13,-1.3,1.6,2.3
610865,3751.1,3.023,917,0.09,-0.994,0.126,-1.1,1.5,2.7
610915,3751.7,3.023,915,0.029,-0.998,0.101,-0.9,-0.8,4.2
610965,3751.7,3.023,915,0.081,-1.008,0.114,-1,3.4,4.3
611015,3750.9,3.023,917,0.036,-1.008,0.108,0.9,-0.6,4.1
611065,3749.9,3.022,920,0.066,-0.991,0.119,-0.7,2.1,3.3
611115,3752.9,3.024,911,0.029,-0.998,0.103,0,0.6,4.2
611165,3752.1,3.024,914,0.043,-0.993,0.124,-1,3.8,5.1
611215,3751.3,3.023,916,0.039,-0.981,0.112,-2.5,1.4,6.7
611265,3752,3.024,914,0.016,-0.997,0.093,-3.3,1.5,8.6
611315,3751.8,3.023,915,0.05,-1.002,0.123,-3.2,2.1,6.5
611365,3752.1,3.024,914,0.026,-0.981,0.12,0.6,-3.4,4.5
