t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
802865,3760.4,3.03,890,0.198,-0.938,-0.273,-1.2,0.9,1.4
802915,3761.4,3.031,887,0.187,-0.939,-0.266,-1.6,1.5,1
802965,3759.4,3.03,893,0.187,-0.942,-0.271,0.3,-0.4,1.2
803015,3760.1,3.03,891,0.195,-0.932,-0.294,-3.3,10.3,5
803065,3760.5,3.03,890,0.141,-0.953,-0.352,-14.8,21.1,12.5
803115,3758.8,3.029,895,0.207,-0.928,-0.364,-29.5,39.1,9.3
803165,3757.5,3.028,898,0.125,-0.994,-0.338,-35.6,60.4,3.8
803215,3758.7,3.029,895,0.07,-0.989,-0.317,-26.7,43.3,1.1
803265,3753.1,3.024,911,0.078,-0.987,-0.291,-10.9,19.5,18
803315,3747.5,3.02,927,0.321,-0.92,-0.243,-9,55.2,-6.7
803365,3740,3.014,949,0.239,-0.926,-0.407,-15.2,90.4,-21.2
803415,3735.8,3.01,962,0.243,-0.92,-0.446,-27.9,15.4,-34.2
803465,3731.4,3.007,975,0.467,-0.853,-0.39,-49.4,23.9,-47.7
803515,3731.1,3.007,975,0.533,-0.89,-0.368,-55.5,100.7,-58.6
803565,3729.1,3.005,981,0.535,-0.793,-0.322,-33.1,130.9,-38.3
803615,3728,3.004,984,0.592,-0.792,-0.293,-34,173.1,-26.5
803665,3729.3,3.005,981,0.637,-0.547,-0.235,-20.9,203.6,-5.2
803715,3730.8,3.007,976,0.419,-0.673,-0.314,-45.3,186.1,0.9
803765,3734.8,3.01,965,0.414,-0.829,-0.228,-52.4,84.3,18.8
803815,3735.3,3.01,963,0.489,-0.652,-0.082,-55.5,18.1,33.5
803865,3735.9,3.011,961,0.573,-0.788,-0.069,-53.8,-0.3,45.2
803915,3737.2,3.012,957,0.699,-0.767,-0.074,-41.7,5.2,45.5
803965,3737.6,3.012,956,0.586,-0.863,-0.057,-22.9,-10.2,27.6
804015,3737.9,3.012,955,0.738,-0.919,-0.012,-9.9,5,26.7
804065,3739.4,3.013,951,0.581,-0.996,-0.314,16.6,-2,4.6
804115,3741.9,3.015,944,0.487,-0.738,-0.166,27.4,-60,-0.9
804165,3746.6,3.019,930,0.639,-0.764,-0.233,34.5,-34.9,-25
804215,3748.8,3.021,923,0.317,-0.727,-0.213,32.5,-73.5,-1.5
804265,3750.6,3.022,918,0.032,-0.832,-0.411,28.8,-99.1,-9.9
804315,3751.7,3.023,915,0.423,-0.777,-0.393,21.4,-176.1,-26.3
804365,3751.9,3.024,914,0.31,-0.903,-0.309,38.2,-96.2,-5.4
804415,3752.1,3.024,914,0.529,-1.018,-0.179,78.1,-141.5,-12
804465,3750.8,3.023,918,0.608,-1.173,-0.104,49.6,-115.4,-30.1
804515,3747.8,3.02,926,0.399,-1.014,-0.285,-8.9,-104.4,-13.9
804565,3742.6,3.016,942,0.366,-0.835,-0.316,9.4,-101.4,-23.2
804615,3736.6,3.011,959,0.383,-0.602,-0.096,-13.4,-53.6,-61.5
804665,3729.9,3.006,979,0.558,-0.809,-0.058,-25.1,55.2,-82
804715,3724.1,3.001,996,0.602,-0.853,-0.271,35.4,168.5,-50
804765,3723.5,3.001,998,0.435,-0.876,-0.419,60.9,120.7,-21.6
804815,3728.3,3.004,984,0.595,-0.671,-0.281,87.1,70.6,-7.9
804865,3731.8,3.007,973,0.61,-0.408,-0.112,48.7,6.4,12.5
804915,3733.6,3.009,968,0.702,-0.153,-0.134,-40,23.9,-28.3
804965,3730,3.006,979,0.751,-1.677,-0.335,-107.9,12.4,-18.4
805015,3730.5,3.006,977,1.13,-1.189,-0.107,-40.8,162.5,49.6
805065,3731.3,3.007,975,0.635,-1.123,-0.249,-57.1,111.4,28.3
805115,3734.4,3.009,966,0.769,-0.674,0.13,15.3,-38.5,-6.8
805165,3736.5,3.011,959,0.71,-0.262,0.103,13.9,-32.4,-66.9
805215,3740.6,3.014,947,0.547,-0.493,0.072,9.7,-32.4,-91.3
805265,3743.3,3.017,940,0.388,-0.771,-0.154,19.4,11.1,-22.5
805315,3745.1,3.018,934,0.11,-0.574,-0.503,-15.5,43.4,79.4
