t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
877965,3757.1,3.028,899,0.163,-1.001,0.022,-4,1.8,2.2
878015,3759.1,3.029,893,0.179,-0.989,0.002,-3.4,1.3,3.7
878065,3756.7,3.027,901,0.155,-1.007,0.009,-6.6,5,3.4
878115,3756.6,3.027,901,0.158,-0.982,0,-7.8,4.2,4.4
878165,3758.4,3.029,895,0.158,-0.979,-0.012,-14.6,15.5,5.9
878215,3757.1,3.028,899,0.154,-0.992,-0.028,-18.9,35.5,7.1
878265,3757.4,3.028,899,0.127,-1.001,-0.034,-23.3,46.9,2.5
878315,3755.2,3.026,905,0.149,-1.017,-0.035,-19.8,35.4,-2.2
878365,3751.8,3.023,915,0.164,-0.993,-0.033,-20.4,25.5,-7.1
878415,3751.1,3.023,917,0.182,-0.999,-0.057,-24.9,31.4,-12
878465,3750.6,3.022,918,0.197,-0.962,-0.06,-15.5,27.2,-13.3
878515,3745.6,3.018,933,0.22,-1.001,-0.036,-19,48.8,-18.1
878565,3741.9,3.015,944,0.229,-0.959,-0.023,-12,37.5,-14.8
878615,3736.8,3.011,959,0.298,-0.973,-0.042,1.2,4.3,-21.4
878665,3732.3,3.008,972,0.245,-0.982,-0.026,2,19.7,-23.2
878715,3729.1,3.005,981,0.33,-0.944,0.007,6.7,12.9,-16.7
878765,3725.3,3.002,992,0.323,-0.991,-0.038,9.1,51.5,-23.9
878815,3724.4,3.001,995,0.251,-0.989,-0.095,9.2,43.6,-24.8
878865,3722.4,3,1001,0.306,-0.964,-0.012,4.5,6.6,-19.2
878915,3723.2,3,999,0.264,-0.922,-0.005,9.5,12.4,-10.7
878965,3724.4,3.001,995,0.323,-0.969,0.016,11,11.1,-6.7
879015,3724.2,3.001,996,0.363,-0.977,-0.003,12,15.4,-5.1
879065,3724.9,3.002,994,0.347,-0.963,-0.03,17.3,15,-11.7
879115,3723.9,3.001,997,0.402,-0.972,0.024,15.7,-1,-12.9
879165,3721.5,2.999,1004,0.367,-0.933,-0.016,17.9,-4.3,-19.6
879215,3720.2,2.998,1008,0.385,-0.94,0.046,18.6,-7.4,-19.3
879265,3720.3,2.998,1007,0.384,-0.929,0.077,19.3,-11.6,-20.9
879315,3714.3,2.993,1025,0.39,-0.886,0.082,22.2,-4.6,-22.3
879365,3710.5,2.99,1036,0.414,-0.911,0.077,21.9,3.8,-12.9
879415,3708.8,2.989,1041,0.411,-0.838,0.061,6,14.6,3.5
879465,3712,2.991,1032,0.373,-0.853,0.033,-11.5,-13.1,21.1
