t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
1911815,3724.6,3.002,994,-0.343,0.647,-0.274,38.9,65.4,-15.4
1911865,3725.4,3.002,992,0.096,0.703,-0.45,15.6,-15.9,-16.5
1911915,3726.9,3.003,988,-0.214,0.985,-0.53,-7,41,24.2
1911965,3726.4,3.003,989,0.51,1.139,0.333,-57.7,-227.3,6
1912015,3724.6,3.001,995,0.186,1.307,0.125,3.4,145,-18.6
1912065,3724.3,3.001,995,-0.211,0.996,-0.384,-45.6,-93.9,4.3
1912115,3724,3.001,996,0.536,0.968,0.284,-32.1,-34,1.5
1912165,3724.5,3.001,995,-0.047,0.954,0.026,-33.7,-26.7,-0.1
1912215,3725.8,3.002,991,0.178,1.071,-0.018,-36.9,-14,-6.7
1912265,3725.9,3.003,991,0.066,0.919,-0.086,-35.9,-33,0.2
1912315,3726.2,3.003,990,0.314,0.922,0.037,-14.5,-17,-0.6
1912365,3726.3,3.003,990,0.015,1.04,0.133,2,-29.3,3.2
1912415,3727.4,3.004,986,0.283,0.992,0.096,12.5,27.6,1.6
1912465,3726.7,3.003,988,0.077,0.971,-0.016,1.1,-8.5,6.7
1912515,3729.5,3.005,980,0.228,0.987,0.09,5.2,-14.8,10
1912565,3728.9,3.005,982,0.235,1.035,0.069,18,-3.9,5.5
1912615,3729.6,3.006,980,0.024,1.007,0.076,24.2,16,3.2
1912665,3728.3,3.005,984,0.241,0.986,0.098,35.9,53.1,-2.2
1912715,3728.7,3.005,982,0.158,0.933,0.021,31.8,49.5,0.7
1912765,3728.5,3.005,983,0.182,0.963,0.004,36.2,14.4,2.8
1912815,3730,3.006,979,0.133,1.102,-0.023,26.7,41.9,5
1912865,3728.6,3.005,983,0.147,1.003,-0.047,20.9,-8.3,11.1
1912915,3728.4,3.005,983,0.19,0.988,-0.039,22.3,14.1,6.2
1912965,3728.3,3.004,984,0.127,1.007,-0.061,28,12.1,5.5
1913015,3729.6,3.006,980,0.189,0.989,-0.056,22.5,11.4,4.3
1913065,3727.3,3.004,986,0.229,0.945,-0.096,26.3,20.2,6.4
1913115,3728.6,3.005,983,0.15,0.947,-0.111,10.7,-23.2,2.5
1913165,3729.9,3.006,979,0.158,1.007,-0.054,17.6,2.1,3.1
1913215,3728.3,3.004,984,0.158,0.955,-0.1,19.5,19.4,1.4
1913265,3729.5,3.005,980,0.194,1.036,-0.115,16.4,5,-2.4
1913315,3728.1,3.004,984,0.215,1.015,-0.102,17.7,7.4,-0.7
1913365,3727.9,3.004,985,0.188,1.004,-0.191,13.2,26.5,0.6
1913415,3728.6,3.005,983,0.237,0.986,-0.109,2.7,19.5,-6.9
1913465,3728.7,3.005,982,0.105,1.009,-0.121,0.7,3.8,-8.8
1913515,3728.5,3.005,983,0.219,0.946,-0.122,-7.2,9.2,-16.5
1913565,3726.6,3.003,988,0.144,0.967,-0.175,-12.8,5.2,-12.5
1913615,3726.6,3.003,988,0.125,1.052,-0.122,-15.1,-3.2,-9.3
1913665,3726.6,3.003,988,0.148,0.982,-0.087,-20.4,-17.1,-4
1913715,3727.2,3.004,987,0.211,0.973,0.028,-24.4,-33.8,-10.3
1913765,3729.4,3.005,980,0.196,0.955,-0.095,-4.7,5.9,-6.6
