t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
2028315,3749.3,3.021,922,-0.095,-1.002,-0.053,-0.6,6.2,1
2028365,3749.1,3.021,923,-0.098,-0.998,-0.054,0.6,1,1.2
2028415,3749.6,3.022,921,-0.099,-0.996,-0.048,-0.6,1.4,1.1
2028465,3748.6,3.021,924,-0.091,-1,-0.058,-0.3,0.3,0.9
2028515,3750,3.022,920,-0.101,-0.994,-0.057,-0.4,2.7,1.3
2028565,3749.3,3.021,922,-0.104,-1.003,-0.045,-0.8,2,1
2028615,3749.5,3.022,921,-0.096,-0.992,-0.051,-1.1,1,2.2
2028665,3749.3,3.021,922,-0.106,-1.001,-0.067,-1.1,5.6,2
2028715,3748.6,3.021,924,-0.13,-0.988,-0.063,0.4,0,3.9
2028765,3747.3,3.02,928,-0.123,-0.969,-0.071,-6,18.8,3.6
2028815,3747.3,3.02,928,-0.158,-1.032,-0.07,-2.8,20.8,0.4
2028865,3748.5,3.021,924,-0.124,-0.993,-0.098,1.8,10.1,0.6
2028915,3748.9,3.021,923,-0.112,-1.018,-0.091,-3,26,-9.7
2028965,3748.4,3.021,925,-0.146,-1.019,-0.07,8.8,7.9,-8.7
2029015,3746.4,3.019,930,-0.057,-0.991,-0.093,7.2,15.1,-13.1
2029065,3746.1,3.019,931,-0.13,-1.063,-0.063,14.3,5.2,-21.2
2029115,3743.6,3.017,939,-0.023,-0.985,-0.026,16.2,-12.9,-23.1
2029165,3742.4,3.016,942,-0.061,-1.044,-0.01,20.6,-17.3,-29.8
2029215,3740.7,3.014,947,0.012,-1.008,0.014,20.2,-40.3,-34
2029265,3738.3,3.013,954,0.053,-0.875,0.015,20.6,-33.6,-39.3
2029315,3735.9,3.011,961,0.04,-1.012,0.047,20.2,-29,-40.8
2029365,3737,3.012,958,0.122,-0.988,0.069,17,-16.3,-39.5
2029415,3734.5,3.009,965,0.132,-0.994,0.075,17.6,-22.2,-36.5
2029465,3732.5,3.008,971,0.166,-0.945,0.122,11.2,-10.6,-30
