t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
2192915,3775,3.042,848,0.332,-0.945,0.107,-0.1,-2.8,-1
2192965,3775.6,3.043,846,0.335,-0.941,0.104,0,-4.8,-1.3
2193015,3775.9,3.043,845,0.341,-0.941,0.102,0.4,-3.5,-1
2193065,3775.4,3.042,846,0.337,-0.943,0.107,0.1,-1.8,-1
2193115,3776.1,3.043,845,0.338,-0.945,0.108,-0.6,-1.5,-0.6
2193165,3775.8,3.043,845,0.335,-0.943,0.102,-0.8,-2.2,0.1
2193215,3777.2,3.044,841,0.33,-0.939,0.102,-0.4,0,0.1
2193265,3774.7,3.042,849,0.342,-0.943,0.104,0,-2.7,1.5
2193315,3774.8,3.042,848,0.385,-0.924,0.093,-10.7,-0.1,5.5
2193365,3775.5,3.043,846,0.325,-0.942,0.025,-20.7,31,10.5
2193415,3775.8,3.043,846,0.282,-0.966,0.032,-9,17.9,6.9
2193465,3773.7,3.041,851,0.359,-0.953,0.051,-16.3,34.2,1.5
2193515,3772.2,3.04,856,0.296,-0.986,0.088,-16.2,20.9,0.7
2193565,3771.5,3.039,858,0.28,-0.905,0.04,-27.6,53.5,9.5
2193615,3769.3,3.037,864,0.335,-0.978,0.145,-30.4,-6.7,-8.7
2193665,3768.3,3.037,867,0.366,-1.035,0.187,-17,-14.5,-21.5
2193715,3767.3,3.036,870,0.317,-0.959,0.067,-4.2,6.9,-26.7
2193765,3766.7,3.035,872,0.307,-1.021,0.071,28.5,-29,-41.5
2193815,3766.1,3.035,873,0.465,-0.935,0.047,39.1,-29.2,-34.6
2193865,3762.5,3.032,884,0.409,-0.941,0.088,48.2,5,-33.5
2193915,3756.8,3.027,900,0.425,-0.911,0.082,18.8,33.7,5.7
2193965,3746.1,3.019,931,0.173,-0.971,0.05,14.8,50.7,-1.4
2194015,3732.8,3.008,970,0.572,-0.791,0.064,22.1,12.8,-19.8
2194065,3732.8,3.008,970,0.3,-0.773,0.024,2.1,-6,-9.7
2194115,3738.6,3.013,953,0.346,-0.782,0.103,-6,-22.2,-0.4
2194165,3744.4,3.017,936,0.422,-0.905,0.132,-14.6,-4.1,22.6
2194215,3753.7,3.025,909,0.438,-0.915,0.095,-31.9,41.9,34.9
2194265,3758.9,3.029,894,0.283,-0.917,0.072,-54.2,59.2,35.6
2194315,3760.1,3.03,891,0.459,-1.043,0.187,-48.9,-46.2,21.2
2194365,3761.9,3.032,885,0.498,-1,0.209,-3.5,8,1.9
2194415,3763.9,3.033,880,0.313,-1.038,0.138,18.3,-30.9,-17.5
2194465,3763.7,3.033,880,0.232,-0.779,0.135,33.6,12,-21.1
