t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
2576665,3740.8,3.015,947,0.231,-0.943,-0.239,-1.8,0,0.8
2576715,3741.8,3.015,944,0.239,-0.937,-0.245,-0.8,-1.7,-0.6
2576765,3742.7,3.016,941,0.231,-0.955,-0.241,-1,-2.9,0.4
2576815,3741.8,3.015,944,0.226,-0.932,-0.246,1.3,-1,0.3
2576865,3742.9,3.016,941,0.228,-0.933,-0.246,1.8,1.1,-1.1
2576915,3741.9,3.015,944,0.218,-0.948,-0.234,1.8,-1,-0.5
2576965,3741.8,3.015,944,0.195,-0.934,-0.242,2.7,15.5,1.5
2577015,3742.6,3.016,942,0.272,-0.883,-0.226,4.6,20,3.4
2577065,3742.9,3.016,941,0.223,-0.844,-0.23,-10.4,29.6,2.5
2577115,3739.6,3.014,950,0.494,-0.961,-0.27,-8.3,98.9,-3.8
2577165,3740.7,3.014,947,0.192,-0.987,-0.45,-26.4,121.7,-23.6
2577215,3738.6,3.013,953,0.391,-0.976,-0.355,-36.7,58.9,-33
2577265,3736.4,3.011,960,0.563,-0.964,-0.391,-60.1,87.4,-47
2577315,3733.4,3.009,968,0.507,-0.926,-0.379,-89.9,81,-62.7
2577365,3732.3,3.008,972,0.591,-0.845,-0.519,-85.8,85.1,-79.6
2577415,3731.9,3.007,973,0.647,-0.86,-0.468,-86.4,42.9,-88.8
2577465,3728.3,3.005,984,0.693,-0.787,-0.429,-84.3,16.2,-98.4
2577515,3728.7,3.005,982,0.773,-0.685,-0.4,-81.6,19.7,-98.9
2577565,3731.2,3.007,975,0.813,-0.644,-0.397,-84.7,31.6,-100.9
2577615,3729.6,3.006,980,0.736,-0.526,-0.377,-75.5,7.8,-100.9
2577665,3728,3.004,984,0.814,-0.417,-0.454,-58,8.3,-101.1
2577715,3729,3.005,981,0.82,-0.339,-0.401,-56,5,-96.6
2577765,3729.6,3.006,980,0.771,-0.188,-0.403,-43.3,-35.9,-92.2
2577815,3729.4,3.005,980,0.873,-0.092,-0.471,-29.1,-0.3,-87
2577865,3730.5,3.006,977,0.857,-0.05,-0.319,-47.7,-25.8,-79.4
2577915,3730.4,3.006,977,0.742,0.193,-0.482,-32.8,-32.1,-72.5
2577965,3729.5,3.005,980,0.851,0.11,-0.405,-36.1,24.6,-60.3
2578015,3730.7,3.006,977,0.752,0.288,-0.389,-48.5,-39.4,-52.9
2578065,3733,3.008,970,0.725,0.332,-0.419,-32.2,-0.6,-34.2
2578115,3731.4,3.007,975,0.576,0.209,-0.471,-20.6,18.9,-24.8
2578165,3733.8,3.009,967,0.694,0.204,-0.341,-18.3,-8.5,-10.7
2578215,3734.4,3.009,966,0.483,0.215,-0.315,-8,-19,3.3
2578265,3734.7,3.01,965,0.541,0.226,-0.395,13.2,19.5,18.5
2578315,3734.9,3.01,964,0.551,0.24,-0.337,28.6,-8.5,33.4
2578365,3734.4,3.009,966,0.617,0.246,-0.437,49.2,27.9,45.6
2578415,3735.8,3.011,961,0.704,0.08,-0.363,58.4,7.6,61.6
2578465,3735.2,3.01,963,0.794,0.066,-0.403,67.8,11.6,75
2578515,3735.9,3.011,961,0.915,0.002,-0.333,66.7,-2.5,93.4
2578565,3736.5,3.011,959,0.777,-0.098,-0.409,67.7,11.1,103
2578615,3736.6,3.011,959,0.949,-0.189,-0.439,70.1,28.3,105.5
2578665,3738.7,3.013,953,0.867,-0.441,-0.543,72.3,40,104
2578715,3736.4,3.011,960,0.946,-0.484,-0.446,71.8,11.9,95.6
2578765,3737.3,3.012,957,0.915,-0.577,-0.443,66.6,-7.4,88.9
2578815,3737.8,3.012,956,0.819,-0.721,-0.449,67.4,18.7,79.3
2578865,3737.4,3.012,957,0.84,-0.692,-0.435,67.2,-3.6,72
2578915,3737.3,3.012,957,0.842,-0.825,-0.341,56.1,-9.7,62
2578965,3738.3,3.013,954,0.433,-0.788,-0.198,53.3,-67.8,54.3
2579015,3737,3.012,958,0.883,-0.788,-0.426,58.6,24.2,51.7
2579065,3738.5,3.013,954,0.489,-0.896,-0.198,45.5,-45.6,48.6
2579115,3739.6,3.014,950,0.541,-0.842,-0.289,51,-37.8,38.6
2579165,3740.7,3.014,947,0.554,-0.759,-0.23,28.8,-26.6,29
2579215,3741.2,3.015,946,0.443,-0.871,-0.23,40.9,-38.1,30.5
2579265,3740.6,3.014,947,0.488,-0.928,-0.152,25.2,-12.2,18.8
2579315,3739.4,3.013,951,0.465,-0.92,-0.404,16.3,-45.2,15.5
2579365,3739.8,3.014,950,0.517,-0.94,-0.133,4.5,-34,13.6
2579415,3739.1,3.013,952,0.397,-0.834,-0.229,11.7,-24.6,4.5
2579465,3740.7,3.014,947,0.521,-0.868,-0.236,-7.8,19,7
2579515,3739.4,3.013,951,0.465,-0.874,-0.176,-7.6,12.1,-2.2
2579565,3739.8,3.014,950,0.428,-0.847,-0.357,-4.2,49.3,-12.3
2579615,3739.4,3.013,951,0.538,-0.9,-0.267,-45.8,-9.4,-28
2579665,3739.2,3.013,952,0.63,-0.877,-0.349,-67,43.4,-39.6
2579715,3737.6,3.012,956,0.611,-0.953,-0.444,-74.1,33.2,-60.3
2579765,3736.9,3.011,958,0.697,-0.941,-0.386,-83.7,5.4,-79.7
2579815,3735.8,3.011,961,0.748,-0.889,-0.424,-87.3,26.5,-98.3
2579865,3736.9,3.011,958,0.782,-0.795,-0.413,-89.5,9.2,-113.7
2579915,3736.4,3.011,960,0.852,-0.694,-0.4,-83.2,1.6,-117.6
2579965,3734.2,3.009,966,0.859,-0.564,-0.38,-85.5,7.3,-124.2
2580015,3734.2,3.009,966,0.778,-0.402,-0.396,-72.9,-31.9,-131
2580065,3733.6,3.009,968,0.855,-0.281,-0.396,-64.7,-6.2,-127.8
