t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
50,0,0,690,-0.234,0.984,0.011,-1.3,1.2,-0.6
100,0,0,681,-0.244,0.988,0.001,0.3,-10.3,-1.9
150,0,0,690,-0.205,0.996,0.025,-0.3,-2.5,-4.3
200,0,0,689,-0.159,0.983,0.007,2.7,-0.8,-5.5
250,0,0,687,-0.212,0.981,-0.006,-0.7,-3.6,-6.3
300,0,0,689,-0.224,0.99,0.03,1,-14.8,-8.1
350,0,0,739,-0.252,0.953,0.014,2.7,-0.2,-7.7
400,0,0,691,-0.192,0.964,0.007,-0.3,-9.2,-7.8
450,0,0,686,-0.286,0.947,0.018,3.2,-2.9,-3.7
500,0,0,679,-0.234,0.963,0.021,0.5,3.8,-5
550,0,0,684,-0.294,0.949,0.011,4.9,-8.8,-3.2
600,0,0,691,-0.217,0.962,0.008,0.3,-6.7,-3.7
650,0,0,683,-0.295,0.979,0.012,-0.5,6,-3.7
700,0,0,695,-0.317,0.972,0.035,2.5,0.6,-1.5
750,0,0,682,-0.262,0.975,0.02,3.3,-5.5,-3.5
800,0,0,696,-0.299,0.957,0.02,2,-6.5,-2.1
850,0,0,687,-0.256,0.974,0.032,1.9,-5.8,-2.9
900,0,0,683,-0.362,0.964,0.039,1.5,13.2,-2
950,0,0,691,-0.344,0.938,0.034,3.2,-11.3,1.3
1000,0,0,693,-0.329,0.97,0.055,3.2,-20.6,3.4
1050,0,0,679,-0.276,0.967,0.08,3.3,2.5,2.4
1100,0,0,695,-0.356,0.975,0.142,-4.6,-4.9,-11.6
1150,0,0,686,-0.352,0.974,0.102,8.3,-12.7,-13.6
1200,0,0,684,-0.204,0.882,0.039,8.3,16.9,-9.5
1250,0,0,690,-0.401,0.871,0.051,18.1,1.5,-8.1
1300,0,0,688,-0.325,0.888,0.005,22.4,-47.8,-0.4
1350,0,0,685,-0.249,0.992,-0.011,26.2,-35.4,6.3
1400,0,0,686,-0.297,1.035,-0.145,23.6,-41.4,12.2
1450,0,0,690,-0.343,1.018,-0.065,27.9,-41.4,21.1
1500,0,0,687,-0.289,0.963,-0.138,18.5,-52.2,12.2
1550,0,0,682,-0.154,0.984,-0.117,14.7,-57.6,14.8
1600,0,0,693,-0.136,0.994,-0.126,5.5,-35.8,13.4
1650,0,0,686,-0.334,1.008,-0.087,-2,4.8,15.6
1700,0,0,690,-0.339,0.932,-0.09,0.3,-19.2,7
1750,0,0,686,-0.179,0.932,-0.133,-2.2,-31.4,1.5
1800,0,0,686,-0.119,0.993,-0.116,-2,7.8,-3
1850,0,0,690,-0.3,0.952,-0.062,-3.6,35,-1.6
1900,0,0,679,-0.391,0.941,-0.076,-4.6,14.2,-3
1950,0,0,690,-0.213,1.087,-0.018,1.8,-59.5,-12.9
2000,0,0,689,-0.207,1.066,-0.048,-4.9,-1.1,12.3
2050,0,0,710,-0.313,0.961,0.021,-2.7,-28.2,-17
2100,0,0,689,-0.185,0.974,-0.081,-9.2,-9.3,-26.2
2150,0,0,687,-0.164,0.976,0.048,-10.7,9.5,-8.1
2200,0,0,691,-0.418,0.857,0.074,-16.5,50.3,-28.6
2250,0,0,688,-0.346,0.939,0.082,-6.3,24.4,-27.9
2300,0,0,686,-0.343,1,0.092,0.4,-18.3,-6
2350,0,0,690,-0.508,0.864,0.102,12.7,-3.2,-2.9
2400,0,0,688,-0.383,0.891,0.04,20.6,-17,-18.7
2450,0,0,692,-0.197,0.974,0.016,21.4,-20,-10
2500,0,0,693,-0.269,0.897,-0.112,6.1,-17.5,-1.2
2550,0,0,692,-0.394,0.901,-0.022,-0.3,-6.9,-2.3
2600,0,0,695,-0.551,0.916,-0.024,-8.5,-5.9,-6.3
2650,0,0,688,-0.366,0.948,-0.038,-2.7,-37.2,-0.3
2700,0,0,688,-0.362,0.885,-0.024,-3.7,10.4,10.6
2750,0,0,687,-0.393,0.87,-0.024,-11.2,-5.8,9
2800,0,0,689,-0.382,0.9,-0.034,-2.8,-17.9,12.2
2850,0,0,692,-0.294,0.918,-0.01,0.6,-10.1,12.5
2900,0,0,691,-0.317,0.944,-0.016,-4.9,8.8,12
2950,0,0,691,-0.305,0.974,0.003,0.5,2.2,13
3000,0,0,693,-0.38,0.933,0.001,3.8,3.6,12.2
