t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
50,0,0,790,-0.045,0.989,0.231,2.9,-12.1,-6.7
100,0,0,789,-0.029,0.99,0.228,2.3,-21.6,-6.1
150,0,0,790,-0.023,0.99,0.229,1.1,-17.9,-5.8
200,0,0,789,-0.019,0.986,0.226,0.5,-16.2,-4.5
250,0,0,786,-0.023,0.982,0.218,0.9,-18,-1.9
300,0,0,788,-0.002,0.979,0.208,-0.3,-13.8,-1.6
350,0,0,784,-0.012,0.976,0.183,2,-5,0.8
400,0,0,786,-0.017,0.971,0.173,7.4,11.3,0
450,0,0,780,-0.091,0.983,0.22,10.3,13.1,3.9
500,0,0,791,-0.142,0.965,0.256,18.4,-11.7,13.3
550,0,0,784,0.004,1.027,0.209,23.7,-29.7,24.2
600,0,0,786,0.074,0.982,0.162,19.9,-17.3,30.8
650,0,0,786,0.014,0.984,0.201,-1.3,20.9,31.6
700,0,0,776,-0.18,0.911,0.142,-2.5,2.8,22.8
750,0,0,780,-0.079,0.843,0.107,12.6,-47.4,20.8
800,0,0,775,0.028,0.82,0.101,24.7,-56.5,26.7
850,0,0,778,0.239,0.989,0.076,25.8,-25,36.7
900,0,0,735,0.588,0.924,0.091,28,48.2,63.3
950,0,0,733,0.18,0.783,0.187,0.4,25.1,55.4
1000,0,0,714,0.338,0.784,0.036,25.3,-63.2,22.5
1050,0,0,715,0.35,0.861,-0.045,36,-5.6,30.1
1100,0,0,714,0.452,0.916,0.048,30.9,4.5,27.6
1150,0,0,715,0.407,0.756,0.112,40.2,41.2,27.7
1200,0,0,712,0.451,0.949,0.081,51.9,-20.5,26.5
1250,0,0,716,0.56,0.953,0.038,36,8.7,26.8
1300,0,0,714,0.445,0.901,0.034,22.4,35.1,38.3
1350,0,0,715,0.497,0.999,0.01,7.8,23,27.4
1400,0,0,715,0.448,0.895,-0.014,14.2,-11.1,14.4
1450,0,0,716,0.516,0.858,-0.016,5,-9,23.7
1500,0,0,706,0.571,0.912,-0.113,-3.4,-23.4,5.3
