t_ms,raw,volts,ohms,ax,ay,az,gx,gy,gz
50,0,0,723,-0.87,0.014,0.461,1.3,-5.5,2.7
100,0,0,728,-0.874,0.023,0.47,4.5,-1,4.1
150,0,0,729,-0.87,-0.004,0.489,-5.7,5.1,7.9
200,0,0,711,-1.066,0.031,0.427,5.9,-14.8,4.6
250,0,0,715,-0.832,0.072,0.43,10.5,-12.2,7.9
300,0,0,716,-0.906,-0.001,0.486,2.7,-28.8,0.1
350,0,0,717,-0.872,0.049,0.524,-0.5,-13.8,3.8
400,0,0,717,-0.862,0.067,0.54,1.2,-9.7,6.6
450,0,0,719,-0.895,0.065,0.484,-2,1.2,9.1
500,0,0,729,-0.825,0.066,0.598,-11.7,-16.5,22.3
550,0,0,741,-0.945,-0.04,0.612,-35.7,23.5,14
600,0,0,744,-0.806,0.192,0.496,-9.9,-64.9,-7.9
650,0,0,751,-0.852,-0.081,0.506,-24,-36,-11.6
700,0,0,756,-0.66,0.091,0.532,-27.2,-3.3,-16.2
750,0,0,758,-0.716,0.111,0.667,-6.4,-25.5,-3.7
800,0,0,764,-0.759,0.034,0.569,4.2,-47.9,3
850,0,0,750,-0.781,-0.12,0.525,-0.1,-21.4,8.9
900,0,0,768,-0.796,-0.098,0.647,8,-27.2,9.7
950,0,0,758,-0.716,0.028,0.69,5.6,-30.4,1.5
1000,0,0,812,-0.712,-0.013,0.71,-12.8,4.3,-1
1050,0,0,752,-0.651,0.001,0.622,-1.6,-6.9,-4.4
1100,0,0,757,-0.65,-0.019,0.527,2.3,34,0.3
1150,0,0,756,-0.77,0.028,0.652,5,58,-0.8
1200,0,0,747,-0.991,0.021,0.647,16.8,19,-14.8
1250,0,0,729,-0.885,-0.044,0.695,5.5,14.6,-12.2
1300,0,0,728,-0.761,0.033,0.626,5.7,-33.9,-9.8
1350,0,0,722,-0.648,-0.006,0.509,6.9,10.6,-6.7
1400,0,0,727,-0.77,0.047,0.579,3.9,54.3,2.2
1450,0,0,722,-0.69,0.051,0.582,10.4,44.3,5.2
1500,0,0,724,-0.965,0.027,0.615,-12,77.1,3.6
1550,0,0,726,-1.232,-0.027,0.59,-37.5,68.6,-27.2
1600,0,0,728,-1.258,-0.071,0.488,-45.9,44.2,-67.6
1650,0,0,732,-1.236,-0.131,0.237,-34.9,44,-114.5
1700,0,0,721,-1.121,-0.209,0.105,3.6,64.9,-141.8
1750,0,0,734,-1.104,-0.336,0.02,51.9,72.9,-171.5
1800,0,0,729,-0.921,-0.273,0.059,97.2,58.6,-180
1850,0,0,725,-0.853,-0.4,0.001,167.2,40.6,-178.6
1900,0,0,721,-0.76,-0.351,0.059,194.8,-15.2,-159.2
1950,0,0,719,-0.59,-0.384,0.341,218.1,-1.6,-151.8
2000,0,0,719,-0.746,-0.543,0.759,179.6,-9.2,-136.6
2050,0,0,715,-0.615,-0.273,0.867,154.9,-72.2,-133.9
2100,0,0,728,-0.506,-0.229,0.994,117.8,-99.5,-90.9
2150,0,0,721,-0.062,-0.177,0.815,86,-179.3,-113.3
2200,0,0,723,0.209,-0.283,0.712,41.3,-65.9,-111.4
2250,0,0,723,0.208,-0.464,0.79,63,-121.1,-73.8
2300,0,0,719,0.823,-0.02,0.791,51.4,-43.5,-50.8
2350,0,0,716,0.448,-0.324,0.863,22.6,33,-10.1
2400,0,0,728,0.326,-0.323,1.068,7.1,60.8,-3.1
2450,0,0,719,-0.171,-0.399,1.028,8.3,25.9,-33
2500,0,0,723,-0.08,-0.324,1.055,31.8,-67.6,-48.7
2550,0,0,721,0.177,-0.198,1.018,18.7,-44.8,-49.9
2600,0,0,711,0.269,-0.308,0.949,17.1,-75.5,-25.8
2650,0,0,716,0.626,-0.148,0.915,4.1,-20.2,-3.8
2700,0,0,726,0.445,-0.221,0.875,-14.7,41.7,38.3
2750,0,0,710,0.315,-0.259,0.899,-8.8,36.5,47
2800,0,0,714,0.266,-0.384,0.878,1.3,60.5,38.8
2850,0,0,714,-0.256,-0.338,0.958,37.4,16.7,14.6
2900,0,0,719,0.3,-0.121,1.234,-4,-1,14.6
2950,0,0,714,-0.027,-0.242,1.022,-29.8,17.2,14.6
3000,0,0,717,0.204,-0.323,0.85,-28.6,-29.9,4.3
3050,0,0,716,0.23,-0.287,0.912,-26,23.9,-4.9
3100,0,0,714,0.069,-0.364,0.891,-32.7,35.6,-21.4
3150,0,0,709,0.155,-0.323,0.925,-32,24.4,-38.4
3200,0,0,714,0.158,-0.32,0.908,-23,21,-44.5
3250,0,0,709,0.159,-0.364,0.863,-16.7,7.6,-51.7
3300,0,0,713,0.236,-0.386,0.863,-18.8,11.3,-36
3350,0,0,710,0.272,-0.412,0.925,-1.7,37,-21.7
3400,0,0,717,0.183,-0.355,0.913,-15.5,18.6,0.1
3450,0,0,712,0.453,-0.659,0.863,14.8,16,16.2
3500,0,0,718,-0.094,-0.403,0.858,24.2,77.1,-0.6
3550,0,0,749,0.071,-0.203,0.972,-10.6,44.3,18.5
3600,0,0,717,-0.109,-0.289,0.944,-10.4,-6.4,37.9
3650,0,0,719,0.098,-0.348,0.971,-8.3,19.8,47.5
3700,0,0,721,-0.078,-0.369,0.982,-17,24.1,54.3
3750,0,0,722,-0.233,-0.389,0.906,-10,9.8,51.1
3800,0,0,717,-0.165,-0.512,0.933,-19.9,6.1,47
3850,0,0,712,-0.247,-0.439,0.754,1.8,-12.7,41.4
